TA Name,name_id,name,linked_in_name,linkedin_id,current_byu,alltime_byu,current_byu_marriott,alltime_byu_marriott,total_byu_current,total_byu_alltime,linkedin url,firm_url,number_emp_linkedin,linkedin_overview
David Fillmore,porsche-consulting,Porsche Consulting,,2670784,0,6,0,2,0,8,https://www.linkedin.com/company/porsche-consulting-/,https://www.porsche-consulting.com/international/en/homepage,1000,"As a leading consultancy for putting strategies into practice, we have a clear mission: we generate competitive advantage on the basis of measurable results. We think strategically and act pragmatically. We always focus on people—out of principle. This is because success comes from working together with our clients and their employees. We can only reach our aim if we trigger enthusiasm for necessary changes in everyone involved. As consultants we take a sporting approach to every project. We place a premium on fair play. And we are never satisfied with what we achieve. We always seek to do a little better. Our independence is helpful here, for it gives us the liberty to find uncommon solutions. Headquartered in Stuttgart, Porsche Consulting GmbH is a subsidiary of the sports car manufacturer Dr. Ing. h.c. F. Porsche AG. Founded in 1994 with a team of four, it currently employs more than 900 people. An internationally active company with five international subsidiaries of its own in Milan, São Paulo, Atlanta and Palo Alto, Shanghai and Beijing, and Paris, it is one of Germany’s leading management consultancies. Following the principle of “strategic vision, smart implementation,” its experts advise large corporations and medium-sized companies worldwide in the automotive, aviation and aerospace, and mechanical and plant engineering industries. Clients also come from the life sciences, financial services, consumer goods, retail, and construction sectors. Legal notice: https://www.porsche-consulting.com/international/en/legal-notice Data privacy: https://porsche.click/Datenschutzerklaerung"
Grace Dyer,alvarez-marsal-crg,Alvarez & Marsal Consumer and Retail Group,,80198080,0,0,0,0,0,0,https://www.linkedin.com/company/alvarezandmarsal-crg/,https://alvarezandmarsal-crg.com/,146,"Formed in 2019, the Consumer and Retail Group at Alvarez & Marsal is dedicated to delivering transformation to our clients. A&M CRG combines the best of our broader firm's bias toward action and practicality with deep consumer and retail industry experience. The result? An unquestionably different approach and measurable impact for our clients. Our team has led and implemented major transformations in both industry and consulting roles. We know what it is like to face the challenges you are up against. When A&M CRG starts working with your team, we get to know the nuances of your business and deploy our creativity and rigor to your unique situation. We implement proven results that meet your needs and goals. Every time."
Grace Dyer,keystone-group,The Keystone Group,,609798,0,0,0,0,0,0,https://www.linkedin.com/company/the-keystone-group/,https://www.thekeystonegroup.com/,64,"The Keystone Group is a results-oriented management consulting firm. Our small, experienced teams work with middle-market manufacturing, distribution, and business services clients to develop and execute strategic growth, improve operations, restructure finances, and integrate acquisitions. Our mission is to make a substantive difference in the companies we work with and the lives of the people that work for them. For over thirty years, we have been building long-term relationships with our clients by helping them identify and implement solutions to their most complex business issues."
grace Dyer,nera,NERA Economic Consulting,,5753,0,0,0,0,0,0,https://www.linkedin.com/company/nera-economic-consulting/,https://www.nera.com,777,"Since 1961, NERA has provided unparalleled guidance on the most important market, legal, and regulatory questions of the day. Our work has shaped industries and policy around the world. Our field-leading experts and deep experience allows us to provide rigorous analysis, reliable expert testimony, and data-powered policy recommendations for the world’s leading law firms and corporations as well as regulators and governments. Our experience, integrity, and economic ingenuity mean you can depend on us in the face of your biggest economic and financial challenges."
Grace Dyer,putnam,Putnam (Inizio Advisory),,21263,0,0,0,0,0,0,https://www.linkedin.com/company/putnam-associates/,https://inizio.com/our-businesses/ignite/about-inizio-ignite/our-teams/,416,"We are now Inizio Ignite, the global advisory partner for health and life sciences, encompassing connected expertise across Research Partnership, Putnam, Vynamic, and STEM. Our Putnam strategy consulting team bridges science and strategy to enable confident decision-making and build value for pharma. We partner with leading health and life science companies serving brand & commercial leaders, Medical Affairs, access & pricing, and R&D. Our expertise spans offerings including therapeutic area strategy, data & AI strategy, go-to-market strategy, commercialization & growth, value, pricing & access (VPA) strategy, and evidence generation. Proudly part of Inizio – the market-leading commercialization partner for health and life sciences. From early-stage development to loss of exclusivity, we simplify complexity, unlock value, and make collaboration seamless at every pivotal moment – supporting confident, insight-driven decisions that move innovation forward."
Grace Dyer,decibio,DeciBio Consulting,,571154,0,0,0,0,0,0,https://www.linkedin.com/company/decibio/,http://www.decibio.com,62,"DeciBio Consulting is a boutique strategy consulting firm focusing on the life science industry. DeciBio's mission is to provide strategic insights that accelerate innovation in precision medicine. Headquartered in Los Angeles, CA, DeciBio serves clients and customers across the globe, ranging from incubator-stage startups to Fortune 500 life science corporations. DeciBio addresses business solutions that range from market landscape analyses to full commercial strategies, including organic and inorganic growth opportunities (commercial due diligences). DeciBio’s work is typically supported by a mix of primary and secondary research leveraging Dexter, its in-house expert network, and DeciBio Analytics’ proprietary data intelligence products. DeciBio’s Analytics division offers numerous data products to support strategic insights, including in clinical diagnostics (the DxBooks), oncology biomarkers, liquid biopsy, NGS, spatial biology, omics market segmentation (Market Reports), the entire life sciences industry (BioTrack), and more. Internal teams such as the Culture Committee, Women* in Consulting, and Queers in Consulting enrich the employee experience. DeciBio’s Social Impact board and the DeciBio Impact Lab work collaboratively across divisions and externally to uproot discrimination and increase access to precision medicine. DeciBio Consulting, LLC recently launched DeciBio Ventures. This venture capital and creation firm invests in and supports ground-breaking companies in the precision medicine space."
Grace Dyer,altman-solon,Altman Solon,,65683578,0,0,0,0,0,0,https://www.linkedin.com/company/altman-solon/,https://www.altmansolon.com,660,"In 2020, Altman Vilandrie & Company and Solon Management Consulting have cemented a decades-long partnership across the Atlantic to form Altman Solon, the world’s largest global strategy consulting firm with an exclusive focus on the TMT sector. Our consultants are united by our passion and intellectual curiosity for the Telecommunications, Media, and Technology (TMT) sectors. These sectors, representing a $5+ trillion global market, are defined by remarkable technological innovations, business model disruptions, rapidly shifting consumer demands, shrinking barriers to entry, and confusing regulatory changes – challenges that Altman Solon is prepared for and eager to address on behalf of our clients. As trusted advisors to major industry players and leading investors, we have helped to identify, develop, and implement many of the era-defining strategies that have shaped the TMT sector over the last twenty years. Altman Solon has an extensive international reach with offices in Amsterdam, Boston, London, Los Angeles, Mexico City, Milan, Munich, New York, Paris, Riyadh, San Francisco, Singapore, Stockholm, Sydney, Warsaw, and Zurich, with successful projects completed across the globe in more than 100 countries."
Grace Dyer,bridgespan,Bridgespan Group,,11750,0,0,0,0,0,0,https://www.linkedin.com/company/the-bridgespan-group/,http://www.bridgespan.org,494,"The Bridgespan Group is a global nonprofit that strives to make the world more equitable and just. Since 2000, we have had the privilege of advising and collaborating with many of the world’s most extraordinary social change leaders including philanthropists, nonprofit and NGO leaders, and impact investors. We are passionate about helping social change leaders find solutions to economic and social barriers that perpetuate inequities and prevent individuals, families, and communities from having access to opportunities they need to thrive. We use rigorous research to gain insights that help our clients solve problems and achieve their goals. Our services include strategy consulting and advising, sourcing and diligence, and leadership team support. We take what we learn from this work and build on it with original research, identifying best practices and innovative ideas to share with the social sector."
Grace Dyer,west-monroe,West Monroe,,13798,0,0,0,0,0,0,https://www.linkedin.com/company/westmonroe/,https://www.westmonroe.com/,2182,"West Monroe is a global business and technology consulting firm passionate about creating value for our clients. We co-create solutions that accelerate results now and prepare industries to tackle what’s next. We’re excited by the possibilities that technology creates. We work with our clients to deliver on the possible, building on their goals, generating fresh insights and creating inspiring outcomes. We excel at the intersection of industry, strategy, people and technology—always driving rapid impact. Our all-in approach comes from our unique employee ownership structure. Our clients’ success is our success. From the beginning, our growth has come from putting people at the center. Fortune and USA Today consistently celebrate West Monroe as a top workplace, and we’re recognized as a leading consultancy by Forbes and Forrester. Share our passion at westmonroe.com."
Grace Dyer,point-b,Point B,,165506,0,0,0,0,0,0,https://www.linkedin.com/company/point-b/,http://www.pointb.com,746,"Trusted by the world's leading organizations, Point B is a consulting company that drives impact at the intersection of expertise, industry insight, and transformative technology. This collaborative approach enables you to solve your most important challenges by bringing together the right mix of talent and technology to deliver greater value and impact. With over 850 associates in the US and 3,000+ consultants around the world through our partnership with Nextcontinent, we work where you do to deliver the change you seek."
Grace Dyer,arthur-d-little,Arthur D. Little,,3550,0,0,0,0,0,0,https://www.linkedin.com/company/arthur-d--little/,http://www.adlittle.com,2418,"As people, organizations and societies embrace change at pace, its leaders must anticipate, innovate and transform ever faster. We help our clients overcome today’s most pressing challenges and seize tomorrow’s most promising opportunities. With a powerful blend of creative thinking and scientific rigor we link people, technology and strategy to find original and pragmatic ways to accelerate performance, innovate through convergence and digital, and make a positive impact on the world."
